n,n_quarters,r2_avg,fin_neg_prop_coef,fin_neg_prop_t,log_size_coef,log_size_t,log_bm_coef,log_bm_t,log_turnover_coef,log_turnover_t,ff_alpha_pre_coef,ff_alpha_pre_t,nasdaq_coef,nasdaq_t,io_coef,io_t,coef,t,panel,config,ff48,cell,sentiment_var,fin_neg_tfidf_full_coef,fin_neg_tfidf_full_t,fin_neg_prop_mda_coef,fin_neg_prop_mda_t,fin_neg_tfidf_mda_coef,fin_neg_tfidf_mda_t
48246,60,0.024251706163575512,,,0.02635092941225632,0.6427402194577381,0.08797468545340473,1.0389538943213437,-0.29521293632689954,-3.14566640705425,-0.19932144202032168,-1.2191059621034894,-0.10116487932874309,-0.8499915312443904,1.262854718493485,4.0294625355468,-0.23927904370207664,-3.3452987021993548,default,B_equal_weight_FM,True,V_col2_prop_mda,fin_neg_prop_mda,,,-0.23927904370207664,-3.3452987021993548,,
48246,60,0.02510061842293817,,,0.038596238475595096,0.9373454718515655,0.07815692113668177,0.9447253940617399,-0.2931429836081361,-3.1887582512447112,-0.2026694404447946,-1.237309526267938,-0.09060064437728066,-0.7633792951894357,1.2468490063098137,4.013676351519811,-0.01556908276113095,-3.1030575216996037,default,B_equal_weight_FM,True,V_col4_tfidf_mda,fin_neg_tfidf_mda,,,,,-0.01556908276113095,-3.1030575216996037
50792,60,0.017632803030208023,-0.16665197749411137,-1.7288775397543843,0.016296589713306612,0.4619432157336552,0.10759512899434966,1.3130575641868616,-0.3088608911007092,-3.3597335273451105,-0.07361679045974352,-0.5231301671134112,-0.206535729895745,-1.825443143878,1.2618559706873733,4.321975620810602,-0.16665197749411137,-1.7288775397543843,default,B_equal_weight_FM,False,IV_col2_prop,fin_neg_prop,,,,,,
50792,60,0.01893729384707088,,,0.019804211389479624,0.5672469113704601,0.09492211684894974,1.1738189686833902,-0.32064805324635387,-3.667862197058091,-0.07331434360277755,-0.5258256668283849,-0.21222406028598223,-1.941063327743985,1.2688246825885932,4.432712757567472,-0.0025374879074439175,-0.6787447372445362,default,B_equal_weight_FM,False,IV_col4_tfidf,fin_neg_tfidf_full,-0.0025374879074439175,-0.6787447372445362,,,,
48246,60,0.018354044537212552,,,0.007471557405940764,0.20351595021048627,0.11290421338009178,1.302391216276947,-0.32385301096892993,-3.3271501869906275,-0.09272072022938255,-0.6391802537281086,-0.223341416534163,-1.9448877663322506,1.4013108126823655,4.78280297261704,-0.23773184240193104,-3.5335883326090696,default,B_equal_weight_FM,False,V_col2_prop_mda,fin_neg_prop_mda,,,-0.23773184240193104,-3.5335883326090696,,
48246,60,0.01881128387754052,,,0.019237465861418425,0.5172027243547852,0.09942016739401452,1.1754957500499443,-0.3201560712941647,-3.367100469795932,-0.08802402345064587,-0.613279305303225,-0.2119337834428079,-1.8752657483904547,1.3685459585043707,4.730014561207657,-0.014667171095412506,-3.0834942467188178,default,B_equal_weight_FM,False,V_col4_tfidf_mda,fin_neg_tfidf_mda,,,,,-0.014667171095412506,-3.0834942467188178
50792,60,0.1500804430004649,-0.15000933305909425,-0.8684781032019319,0.07254283749353033,1.325250652500174,-0.0003921959529510667,-0.0033171757735633196,-0.34711899082005004,-3.016736315342136,-0.30369743917843983,-1.2994264285393653,0.02105703845542265,0.1330799299036721,0.7885886254316163,2.001510993417638,-0.15000933305909425,-0.8684781032019319,default,C_WLS_1_over_n_same_date,True,IV_col2_prop,fin_neg_prop,,,,,,
50792,60,0.1504812786052195,,,0.061768582120597035,1.1362053101624192,-0.03375650482579294,-0.284997916129339,-0.36220344036750407,-3.3111262850367145,-0.2914977513456504,-1.2494255946754769,-0.005994864237162563,-0.03744319276855881,0.7985195344341893,2.0231948913880218,0.0019862980917864175,0.302684372784391,default,C_WLS_1_over_n_same_date,True,IV_col4_tfidf,fin_neg_tfidf_full,0.0019862980917864175,0.302684372784391,,,,
48246,60,0.14771603555285298,,,0.06622267088981439,1.1634194000940166,-0.0022230950598717894,-0.017604396017914303,-0.36484812461041155,-3.079504069127989,-0.36877073791602655,-1.5822305962951713,0.013638470729392161,0.08166885137582912,0.8737371369488771,2.378732044936441,-0.16894103825374318,-1.7400427759272246,default,C_WLS_1_over_n_same_date,True,V_col2_prop_mda,fin_neg_prop_mda,,,-0.16894103825374318,-1.7400427759272246,,
48246,60,0.1480685553174554,,,0.0730285636185538,1.2764377526343327,-0.013823399109426416,-0.11131347162539118,-0.36708261778901946,-3.113427677344946,-0.37396654089972325,-1.6127038604034976,0.009589565878853287,0.056678706971236725,0.874609665727913,2.3417850485628295,-0.006087869210341374,-0.8846675332480899,default,C_WLS_1_over_n_same_date,True,V_col4_tfidf_mda,fin_neg_tfidf_mda,,,,,-0.006087869210341374,-0.8846675332480899
